"No param needed", "No necesita parámetros en la URL"
"Need param in URL", "Necesita parámetros en la URL"
"Parameter", "Parámetro"
"Enabled", "Habilitar"
"Debug", "Debug"
"Mode", "Modo"
"Name", "Nombre"
"Value", "Valor"
"Yes", "Si"
"If module should start debugging data (only if Magento Debug is enabled too).", "(Solo si el Debug de Magento esta habilitado)."
"Popup will work if the URL has the param or no param is required.", " El popup va a funcionar si la URL tiene el parámetro necesario o si no requiere un parámetro."
"Name of the param received via GET", "Nombre del parámetro recibido por GET"
"Value that should have in order to show the popup", "Valor que debería tener para mostrar el PopUp"
"Subscribe", "Suscribirse"
"Enter your email", "Ingrese su email"
